,QA,ANS,TAG
26,what films can be described by [thomas haden church],Spider-Man 3|Sideways|Smart People,has_tags_inv
27,what films are about [guillermo del toro],Pan's Labyrinth|Pacific Rim|Hellboy|Blade II|The Orphanage|The Devil's Backbone|Don't Be Afraid of the Dark|Mimic|Cronos,has_tags_inv
28,which films are about [jim morrison],The Doors,has_tags_inv
29,what movies can be described by [jimmy smits],Bless the Child,has_tags_inv
30,what films can be described by [new zealand],The Last Samurai|The Piano|Heavenly Creatures|The World's Fastest Indian|Bad Taste|Black Sheep|Whale Rider|What We Do in the Shadows|Once Were Warriors|The Quiet Earth|Fly Away Home|Meet the Feebles|Housebound|Boy|In My Father's Den|Forgotten Silver|An Angel at My Table|The Endless Summer|River Queen|The Devil Dared Me To,has_tags_inv
31,which films can be described by [bill nighy],Valkyrie|About Time|Flushed Away|The Best Exotic Marigold Hotel|Wild Target|The Girl in the Café|I Capture the Castle,has_tags_inv
32,what films are about [ramin bahrani],Goodbye Solo|Chop Shop|Man Push Cart|Plastic Bag|99 Homes,has_tags_inv
33,what films are about [barbra streisand],The Guilt Trip|Funny Girl|The Mirror Has Two Faces,has_tags_inv
34,what movies can be described by [dave bautista],Guardians of the Galaxy,has_tags_inv
35,which movies can be described by [jack ryan],The Hunt for Red October|The Sum of All Fears|Patriot Games|Clear and Present Danger,has_tags_inv
36,what movies can be described with [derek cianfrance],The Place Beyond the Pines|Blue Valentine,has_tags_inv
37,what movies can be described by [social network],The Social Network,has_tags_inv
38,which movies can be described by [emma thompson],Brave|Saving Mr. Banks|In the Name of the Father|Sense and Sensibility|Nanny McPhee|The Remains of the Day|Much Ado About Nothing|Primary Colors|Henry V|Dead Again|Howards End|Last Chance Harvey|Wit,has_tags_inv
39,what movies are about [iggy pop],Dead Man,has_tags_inv
40,what films can be described by [british new wave],Billy Liar|A Kind of Loving,has_tags_inv
41,which films can be described by [wall street],The Wolf of Wall Street|Margin Call,has_tags_inv
42,what movies can be described by [jane fonda],"Monster-in-Law|Barbarella|On Golden Pond|Georgia Rule|The China Syndrome|Klute|They Shoot Horses, Don't They?|Cat Ballou|Coming Home|Julia|Agnes of God|Spirits of the Dead",has_tags_inv
43,which films can be described by [travel],Into the Wild|Up in the Air,has_tags_inv
44,which movies can be described by [chefs],Ratatouille,has_tags_inv
45,what movies are about [dudley moore],Arthur|10|Crazy People|Unfaithfully Yours,has_tags_inv
46,which movies can be described by [1.5],The Confessional,has_tags_inv
47,which movies are about [seijun suzuki],Branded to Kill|Tokyo Drifter|Gate of Flesh|Youth of the Beast|Story of a Prostitute,has_tags_inv
48,which movies can be described by [mark herman],Brassed Off|Little Voice,has_tags_inv
49,what movies are about [franklin j. schaffner],Planet of the Apes|Papillon|Patton|The Boys from Brazil|Nicholas and Alexandra|The Best Man|The War Lord,has_tags_inv
50,what movies are about [james ponsoldt],The Spectacular Now|Smashed|The End of the Tour,has_tags_inv
51,which movies are about [psychiatry],A Clockwork Orange,has_tags_inv
52,which films are about [haiti],The Serpent and the Rainbow|Heading South,has_tags_inv
53,what movies can be described with [sheldon lettich],Double Impact|Lionheart|Only the Strong,has_tags_inv
54,what films are about [village],The Village|Noi the Albino,has_tags_inv
55,which films are about [skeletor],Masters of the Universe,has_tags_inv
56,what movies can be described with [natalie wood],West Side Story|Miracle on 34th Street|Splendor in the Grass,has_tags_inv
57,which films can be described by [death row],The Green Mile|Dead Man Walking,has_tags_inv
58,what movies can be described by [masons],National Treasure,has_tags_inv
59,what movies can be described with [martin sheen],Catch Me If You Can|Apocalypse Now|The Amazing Spider-Man|Wall Street|Badlands|The American President|Gettysburg|The Way|The Final Countdown|The Believers,has_tags_inv
60,what movies are about [jewish family],Slums of Beverly Hills,has_tags_inv
61,which films can be described by [environmental],The Day the Earth Stood Still|A Civil Action|Silent Running,has_tags_inv
62,which movies are about [jay roach],Meet the Parents|Meet the Fockers|Austin Powers in Goldmember|The Campaign|Dinner for Schmucks|Game Change|Recount,has_tags_inv
63,what movies can be described by [takashi miike],"Audition|13 Assassins|Ichi the Killer|Sukiyaki Western Django|Visitor Q|Gozu|The Happiness of the Katakuris|Dead or Alive|Crows Zero|Izo|The Bird People in China|Zebraman|The City of Lost Souls|The Great Yokai War|Ace Attorney|Big Bang Love, Juvenile A|Graveyard of Honor|Rainy Dog|Blues Harp",has_tags_inv
64,which films are about [mikio naruse],When a Woman Ascends the Stairs|Floating Clouds|Repast|Sound of the Mountain|Late Chrysanthemums|Apart from You,has_tags_inv
65,what films are about [olivia thirlby],Dredd|The Wackness|What Goes Up,has_tags_inv
66,what movies can be described with [michael rapaport],Money for Nothing,has_tags_inv
67,what movies can be described by [motel],Psycho,has_tags_inv
68,what movies can be described by [shaolin],Martial Arts of Shaolin|Shaolin Temple,has_tags_inv
69,what movies can be described with [satire?],Network|Blazing Saddles,has_tags_inv
70,what movies can be described by [chris morris],Four Lions,has_tags_inv
71,what films are about [ed helms],The Hangover|The Hangover Part II|We're the Millers,has_tags_inv
72,which films are about [deepa mehta],Water|Earth|Fire,has_tags_inv
73,which movies are about [charming],An Education,has_tags_inv
74,which films are about [mike binder],Reign Over Me|The Upside of Anger|Blankman,has_tags_inv
75,which films are about [heroin],Trainspotting|The Basketball Diaries|Jesus' Son,has_tags_inv
76,what movies can be described with [reese witherspoon],American Psycho|Walk the Line|Cruel Intentions|This Means War|Legally Blonde|Monsters vs. Aliens|Pleasantville|Water for Elephants|Sweet Home Alabama|Election|Rendition|Four Christmases|How Do You Know|Fear|Freeway|The Man in the Moon|Twilight,has_tags_inv
77,what movies are about [charlie chaplin],Modern Times|City Lights|The Gold Rush|The Kid|Chaplin|Limelight,has_tags_inv
78,which films are about [russian],Eastern Promises|Stalker|Doctor Zhivago|Night Watch|Solaris|Day Watch|Come and See|Andrei Rublev|The Mirror|Leviathan|Burnt by the Sun|The Barber of Siberia|The Cuckoo|The Thief|Prisoner of the Mountains|A Cruel Romance|Window to Paris|Sadko|Twenty Days Without War,has_tags_inv
79,what movies are about [steve carell],Little Miss Sunshine|Despicable Me|The 40-Year-Old Virgin|Despicable Me 2|Get Smart|Date Night|Over the Hedge|Evan Almighty|The Way Way Back|Horton Hears a Who!|Dan in Real Life|Seeking a Friend for the End of the World|Dinner for Schmucks|Foxcatcher|The Incredible Burt Wonderstone|Hope Springs|Curly Sue,has_tags_inv
80,which movies can be described by [kermit],The Muppet Movie,has_tags_inv
81,which films can be described by [hitchhiker],The Hitchhiker's Guide to the Galaxy,has_tags_inv
82,which movies are about [media],The Truman Show|Natural Born Killers|Miss Representation,has_tags_inv
83,what films are about [male prostitute],Mysterious Skin,has_tags_inv
84,what films can be described by [explicit sex],"Lust, Caution",has_tags_inv
85,what movies can be described with [sarah polley],Dawn of the Dead|Mr. Nobody|Splice|Go|Take This Waltz|Away from Her|The Secret Life of Words|Stories We Tell|No Such Thing,has_tags_inv
86,what films are about [andy lau],House of Flying Daggers|Infernal Affairs|Shaolin|Days of Being Wild|Running Out of Time|Rich and Famous,has_tags_inv
87,what movies can be described with [pete postlethwaite],The Usual Suspects|In the Name of the Father|Dark Water,has_tags_inv
88,which movies are about [alastair sim],Stage Fright,has_tags_inv
89,which movies are about [mike hammer],"Kiss Me Deadly|I, the Jury|My Gun Is Quick",has_tags_inv
90,which movies are about [surveillance],Panic Room|Body of Lies|A Scanner Darkly|Nineteen Eighty-Four,has_tags_inv
91,what films are about [espionage?],The Ipcress File,has_tags_inv
92,what films are about [quentin tarantino],Pulp Fiction|Django Unchained|Inglourious Basterds|Reservoir Dogs|Jackie Brown|Death Proof|True Romance|Grindhouse|Four Rooms|Hell Ride,has_tags_inv
93,what films can be described by [butler],The Remains of the Day|My Man Godfrey,has_tags_inv
94,what movies can be described with [car],Black Moon Rising,has_tags_inv
95,what movies are about [matthew lillard],Scooby-Doo|Wicker Park,has_tags_inv
96,what films can be described by [robert vaughn],The Magnificent Seven|Bullitt,has_tags_inv
97,which movies are about [priest],The Exorcist|The Exorcism of Emily Rose|Bad Education|Priest|Diary of a Country Priest|Letters to Father Jacob,has_tags_inv
98,which films can be described by [cheech marin],Machete|Up in Smoke|Born in East L.A.|The Shrimp on the Barbie,has_tags_inv
99,what movies can be described with [céline sciamma],Tomboy|Water Lilies|Girlhood,has_tags_inv
100,which movies can be described by [robert schwentke],The Time Traveler's Wife,has_tags_inv
101,what movies can be described by [john leguizamo],Ice Age|Spawn|Super Mario Bros.|Spun|The Pest,has_tags_inv
102,which films can be described by [olivia de havilland],Gone with the Wind|The Adventures of Robin Hood|Captain Blood|The Heiress|The Snake Pit|A Midsummer Night's Dream,has_tags_inv
103,which films are about [charlie ray],Little Manhattan,has_tags_inv
104,which movies are about [serendipity],Serendipity,has_tags_inv
105,what movies can be described with [mississippi],The Help|A Time to Kill|Mississippi Burning|Prom Night in Mississippi,has_tags_inv
106,which films can be described by [lee tamahori],Die Another Day|Along Came a Spider|The Edge|The Devil's Double|Once Were Warriors,has_tags_inv
107,which movies are about [jules bass],The Last Unicorn|The Flight of Dragons,has_tags_inv
108,what movies can be described by [astronauts],Gravity|Apollo 13|The Right Stuff,has_tags_inv
109,which films are about [katharine hepburn],The African Queen|The Philadelphia Story|Bringing Up Baby|The Lion in Winter|On Golden Pond|Adam's Rib|Holiday|Desk Set|Without Love,has_tags_inv
110,what movies are about [colin firth],The King's Speech|Bridget Jones's Diary|Tinker Tailor Soldier Spy|Mamma Mia!|A Single Man|Girl with a Pearl Earring|Dorian Gray|Nanny McPhee|What a Girl Wants|Before I Go to Sleep|The Last Legion|The Railway Man|The Accidental Husband|Easy Virtue|Valmont,has_tags_inv
111,what movies can be described with [octopus],Spider-Man 2,has_tags_inv
112,which movies are about [titanic],Titanic|A Night to Remember,has_tags_inv
113,what films are about [bela lugosi],Dracula|Plan 9 from Outer Space|Son of Frankenstein|Bride of the Monster|Island of Lost Souls|The Raven|Mark of the Vampire|Invisible Ghost|Black Dragons|One Body Too Many,has_tags_inv
114,which films can be described by [peter chan],The Warlords|Dragon|The Love Letter,has_tags_inv
115,what movies can be described by [shaquille o'neal],Blue Chips|Steel,has_tags_inv
116,which movies are about [giuseppe tornatore],Cinema Paradiso|Malèna|The Best Offer|The Legend of 1900|The Unknown Woman|A Pure Formality|The Star Maker|Everybody's Fine,has_tags_inv
117,which movies can be described by [united nations],World War Z|Shake Hands with the Devil,has_tags_inv
118,what films are about [wales],Twin Town,has_tags_inv
119,what movies can be described by [realism],Bicycle Thieves|Pather Panchali,has_tags_inv
120,which movies are about [renny harlin],Die Hard 2|Deep Blue Sea|Cliffhanger|The Long Kiss Goodnight|Driven,has_tags_inv
121,which movies are about [sam katzman],The Giant Claw|Zombies of Mora Tau,has_tags_inv
122,what films are about [wes craven],Scream|A Nightmare on Elm Street|Scream 2|Scream 4|Red Eye|Scream 3|The People Under the Stairs|Vampire in Brooklyn|The Serpent and the Rainbow|Shocker|Swamp Thing|Deadly Friend,has_tags_inv
123,what movies are about [monty python],Monty Python and the Holy Grail|And Now for Something Completely Different|Holy Flying Circus,has_tags_inv
124,which movies are about [h.c. potter],Mr. Lucky|Hellzapoppin'|The Farmer's Daughter|The Story of Vernon and Irene Castle,has_tags_inv
125,which movies can be described by [claude berri],Jean de Florette|The Two of Us,has_tags_inv
126,what movies can be described with [bollywood],3 Idiots|Rang De Basanti|My Name Is Khan|Dilwale Dulhania Le Jayenge|Ghajini|Don|Yeh Jawaani Hai Deewani|Singham|Hum Tum|Singh Is Kinng|New York|Saawariya|Kambakkht Ishq|Bollywood/Hollywood|Aaja Nachle|Chance Pe Dance|Love Story 2050|Drona,has_tags_inv
127,what movies are about [salt lake city],SLC Punk!,has_tags_inv
128,which movies are about [white house],Olympus Has Fallen|White House Down,has_tags_inv
129,what movies can be described with [michigan],8 Mile|The Upside of Anger,has_tags_inv
130,which films can be described by [angel],It's a Wonderful Life|Dogma|City of Angels|Wings of Desire|Michael|The Prophecy|Gabriel|The Bishop's Wife|Made in Heaven,has_tags_inv
131,which films can be described by [neill blomkamp],District 9|Elysium|Chappie,has_tags_inv
132,which movies can be described by [international],The International|The Saint,has_tags_inv
133,what movies can be described by [strippers],Dancing at the Blue Iguana,has_tags_inv
134,what movies are about [overpopulation],Soylent Green,has_tags_inv
135,what movies are about [culture],The Joy Luck Club,has_tags_inv
136,which films can be described by [nathan fillion],Slither|Super,has_tags_inv
137,which films can be described by [mia wasikowska],Alice in Wonderland|Stoker|Jane Eyre|The Double,has_tags_inv
138,what films can be described by [indie],Four Eyed Monsters,has_tags_inv
139,what movies are about [double feature],Grindhouse,has_tags_inv
140,which films can be described by [watergate],All the President's Men|Dick,has_tags_inv
141,what films are about [nicaragua],Walker,has_tags_inv
142,what movies can be described by [con],The Sting|Heartbreakers|Nothing Sacred,has_tags_inv
143,what films are about [tomb],The Mummy,has_tags_inv
144,which movies can be described by [john ritter],Bad Santa|Sling Blade|Stay Tuned|Panic,has_tags_inv
145,what movies can be described by [steve barron],Teenage Mutant Ninja Turtles|Coneheads,has_tags_inv
146,what films can be described by [hannibal lecter],The Silence of the Lambs|Hannibal|Red Dragon|Hannibal Rising|Manhunter,has_tags_inv
147,what films can be described by [romany malco],The Love Guru|Saint John of Las Vegas,has_tags_inv
148,which films are about [fisher stevens],Crazy Love,has_tags_inv
149,what films are about [trevor howard],The Third Man|Mutiny on the Bounty|Von Ryan's Express,has_tags_inv
150,which movies can be described by [robert aldrich],The Dirty Dozen|What Ever Happened to Baby Jane?|The Flight of the Phoenix|Kiss Me Deadly|The Frisco Kid|Vera Cruz|Ulzana's Raid|Attack|The Killing of Sister George,has_tags_inv
151,which films can be described by [circus],A Bug's Life|Freaks|Santa Sangre|The Last Circus|Moscow on the Hudson|Werckmeister Harmonies,has_tags_inv
152,what films can be described by [blender],Sintel|Tears of Steel,has_tags_inv
153,what movies can be described by [pedro almodóvar],The Skin I Live In|Talk to Her|Volver|All About My Mother|Bad Education|Broken Embraces|Women on the Verge of a Nervous Breakdown|Live Flesh|Tie Me Up! Tie Me Down!|High Heels|Matador|The Flower of My Secret|Law of Desire|What Have I Done to Deserve This?,has_tags_inv
154,which movies can be described by [jazz club],The Cotton Club,has_tags_inv
155,what films can be described by [stanley donen],Singin' in the Rain|Charade|Funny Face|Seven Brides for Seven Brothers|On the Town|Two for the Road|Bedazzled|Indiscreet|Royal Wedding|It's Always Fair Weather,has_tags_inv
156,which films can be described by [brilliant],The Silence of the Lambs,has_tags_inv
157,what films are about [therapy],Good Will Hunting,has_tags_inv
158,what movies can be described by [ed harris],The Truman Show|A Beautiful Mind|The Rock|Apollo 13|Enemy at the Gates|The Abyss|The Hours|The Way Back|Appaloosa|Stepmom|The Right Stuff|Absolute Power|Radio|Pollock|Buffalo Soldiers|Game Change|State of Grace|Phantom|Milk Money|Winter Passing|The Third Miracle,has_tags_inv
159,what films are about [poker],Casino Royale|Rounders|Maverick|The Cincinnati Kid|The Grand,has_tags_inv
160,what films are about [sergei parajanov],The Color of Pomegranates|Shadows of Forgotten Ancestors|The Legend of Suram Fortress|Ashik Kerib,has_tags_inv
161,which films can be described by [eddie izzard],Valkyrie|Five Children and It|All the Queen's Men,has_tags_inv
162,which films are about [charles boyer],Gaslight|Love Affair,has_tags_inv
163,what movies are about [open source],Revolution OS,has_tags_inv
164,what films can be described by [chris owen],Angus,has_tags_inv
165,what films are about [no dialogue],Powaqqatsi,has_tags_inv
166,which films are about [king arthur],Monty Python and the Holy Grail|First Knight|Excalibur|The Last Legion|Prince Valiant|Unidentified Flying Oddball,has_tags_inv
167,what films can be described by [church],Priest,has_tags_inv
168,which movies can be described by [fred schepisi],Roxanne|I.Q.|Fierce Creatures|Mr. Baseball|Last Orders|The Chant of Jimmie Blacksmith,has_tags_inv
169,which movies can be described by [anthony harvey],The Lion in Winter|The Glass Menagerie|Dutchman,has_tags_inv
170,what films are about [roddy mcdowall],Fright Night|Overboard|The Legend of Hell House,has_tags_inv
171,what movies can be described by [kuwait],Lessons of Darkness,has_tags_inv
172,which movies are about [debate],The Great Debaters|Rocket Science,has_tags_inv
173,what films can be described by [karen allen],Raiders of the Lost Ark|Scrooged,has_tags_inv
174,which movies can be described by [stasi],The Lives of Others,has_tags_inv
175,which films are about [michel gondry],Eternal Sunshine of the Spotless Mind|The Green Hornet|Be Kind Rewind|The Science of Sleep|Human Nature|Tokyo!|Is the Man Who Is Tall Happy?,has_tags_inv
176,which movies are about [martin ritt],"Hud|The Spy Who Came in from the Cold|Hombre|Norma Rae|The Long, Hot Summer|The Front|Sounder|The Great White Hope|Edge of the City|Conrack|Cross Creek|The Brotherhood",has_tags_inv
177,what films can be described by [ridley scott],Gladiator|Alien|Prometheus|Blade Runner|American Gangster|Black Hawk Down|Kingdom of Heaven|Robin Hood|Hannibal|Body of Lies|Matchstick Men|The Counselor|A Good Year|G.I. Jane|Legend|Black Rain|White Squall|The Duellists|Someone to Watch Over Me,has_tags_inv
178,what movies are about [tia carrere],Wayne's World|High School High,has_tags_inv
179,what movies are about [julie delpy],Before Sunrise|Before Sunset|Before Midnight|2 Days in Paris|An American Werewolf in Paris|The Countess,has_tags_inv
180,what films are about [embeth davidtz],Matilda,has_tags_inv
181,which films can be described by [swords],Conan the Barbarian,has_tags_inv
182,which films can be described by [jonathan liebesman],Darkness Falls|The Killing Room,has_tags_inv
183,what movies can be described with [sacha baron cohen],Madagascar|Hugo|The Dictator|Brüno|Ali G Indahouse,has_tags_inv
184,which movies can be described by [ben foster],Pandorum|The Messenger|Get Over It|Bang Bang You're Dead,has_tags_inv
185,what films can be described by [john lithgow],Shrek|Rise of the Planet of the Apes|Cliffhanger|Kinsey|2010|Harry and the Hendersons|Obsession|Homegrown,has_tags_inv
186,what movies are about [rupert grint],Harry Potter and the Goblet of Fire|Harry Potter and the Chamber of Secrets|Harry Potter and the Prisoner of Azkaban|Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|Wild Target|Cherrybomb,has_tags_inv
187,what films are about [sauna],Steam of Life,has_tags_inv
188,which films are about [islam],Malcolm X,has_tags_inv
189,which films can be described by [intimate],Vanya on 42nd Street,has_tags_inv
190,which movies are about [baseball],Moneyball|Cop Out|A League of Their Own|42|The Sandlot|Major League|Trouble with the Curve|The Fan|Fever Pitch|Bull Durham|The Natural|Million Dollar Arm|For Love of the Game|The Rookie|Eight Men Out|Mr. Baseball|Little Big League|The Pride of the Yankees|The Babe|Cobb|Bang the Drum Slowly|Sugar|The Bad News Bears in Breaking Training|The Final Season|It Happens Every Spring|The Slugger's Wife|The Babe Ruth Story,has_tags_inv
191,which films are about [gladiators],The Arena,has_tags_inv
192,what films can be described by [tippi hedren],The Birds|Marnie,has_tags_inv
193,what movies can be described with [jim henson],Labyrinth|The Dark Crystal|The Muppet Christmas Carol|The Muppet Movie|The Muppets Take Manhattan|The Great Muppet Caper,has_tags_inv
194,what films are about [dan aykroyd],Ghostbusters|The Blues Brothers|Trading Places|Grosse Pointe Blank|My Girl|Sneakers|Coneheads|Blues Brothers 2000|My Girl 2|My Fellow Americans|Celtic Pride,has_tags_inv
195,which movies are about [william gibson],Johnny Mnemonic|New Rose Hotel,has_tags_inv
196,which movies are about [the avengers],The Avengers|Iron Man|The Incredible Hulk,has_tags_inv
197,which films are about [hiv],Parting Glances|Fire in the Blood,has_tags_inv
198,which movies are about [nixon],Frost/Nixon|All the President's Men|Secret Honor,has_tags_inv
199,what movies are about [dickens],Oliver Twist|Nicholas Nickleby|A Tale of Two Cities,has_tags_inv
200,which films are about [richard thorpe],The Thin Man Goes Home|The Prisoner of Zenda|Night Must Fall|Carbine Williams|Double Wedding|Three Little Words|Barnacle Bill,has_tags_inv
201,which movies can be described by [josef von sternberg],The Blue Angel|Shanghai Express|The Scarlet Empress|Morocco|Blonde Venus|The Docks of New York|The Last Command|The Shanghai Gesture|The Devil Is a Woman|Underworld|Dishonored|Crime and Punishment,has_tags_inv
202,which films can be described by [amy acker],Much Ado About Nothing,has_tags_inv
203,what movies can be described with [bodybuilding],Pumping Iron,has_tags_inv
204,what films are about [spring break],Spring Breakers|Where the Boys Are,has_tags_inv
205,which movies can be described by [harry potter],Harry Potter and the Goblet of Fire|Harry Potter and the Chamber of Secrets|Harry Potter and the Prisoner of Azkaban|Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|A Very Potter Musical|A Very Potter Sequel,has_tags_inv
206,what movies can be described by [madeleine stowe],The Last of the Mohicans|Impostor|Avenging Angelo|The Proposition,has_tags_inv
207,what films can be described by [dick van dyke],"Night at the Museum|Mary Poppins|Dick Tracy|Chitty Chitty Bang Bang|Lt. Robin Crusoe, U.S.N.",has_tags_inv
208,which films are about [jennifer connelly],A Beautiful Mind|Requiem for a Dream|Blood Diamond|Hulk|Dark City|He's Just Not That Into You|9|Labyrinth|Dark Water|The Rocketeer|Mulholland Falls|Career Opportunities,has_tags_inv
209,which films are about [1],Braveheart|Raiders of the Lost Ark|Heat|The Notebook|Scent of a Woman|True Lies|Meet Joe Black|The Negotiator|Seven Years in Tibet|Swingers|Last Man Standing|Man Bites Dog|Caligula|Hard Eight|Italian for Beginners|Hilary and Jackie|The Agony and the Ecstasy|My Mother's Castle|Highway 61,has_tags_inv
210,what movies can be described by [frank marshall],Arachnophobia|Congo,has_tags_inv
211,what films can be described by [biographical?],The Aviator|Walk the Line|Lawrence of Arabia|Gandhi|Milk|Ray|Man on the Moon|Capote|Elizabeth|The People vs. Larry Flynt|Confessions of a Dangerous Mind|Malcolm X|Kinsey|Chaplin|Nixon|All That Jazz|Lenny|The Notorious Bettie Page|The Invisible Woman,has_tags_inv
212,which movies can be described by [sisters],Melancholia|The Virgin Suicides|Happiness|In Her Shoes|Ginger Snaps|What Ever Happened to Baby Jane?,has_tags_inv
213,what films are about [jessica biel],The Illusionist|The A-Team|Total Recall|Next|Stealth|The Rules of Attraction|Planet 51|Easy Virtue,has_tags_inv
214,what films can be described by [hypocrisy],Outrage,has_tags_inv
215,which movies can be described by [thanksgiving],The Ice Storm|Alice's Restaurant,has_tags_inv
216,what films can be described by [halle berry],X-Men|Swordfish|Catwoman|The Call|Monster's Ball|The Flintstones|Executive Decision|Perfect Stranger|Things We Lost in the Fire|Bulworth,has_tags_inv
217,which movies can be described by [joe johnston],"Jurassic Park III|Jumanji|Honey, I Shrunk the Kids|The Wolfman|Hidalgo|October Sky|The Rocketeer",has_tags_inv
218,what films can be described by [nun],"Heaven Knows, Mr. Allison",has_tags_inv
219,which movies are about [henry winkler],The Waterboy|Holes|A Smoky Mountain Christmas,has_tags_inv
220,what movies can be described by [matteo garrone],Gomorrah|Reality|First Love,has_tags_inv
221,which movies are about [irene dunne],My Favorite Wife|Roberta,has_tags_inv
222,what films are about [david greene],Madame Sin,has_tags_inv
223,what movies are about [human sacrifice],Apocalypto,has_tags_inv
224,what movies can be described with [jane lynch],Role Models,has_tags_inv
225,which films are about [martin lawrence],Bad Boys II|Bad Boys|Wild Hogs|Big Momma's House|Open Season|Blue Streak|National Security|Nothing to Lose|Life|Big Momma's House 2|Black Knight|College Road Trip|What's the Worst That Could Happen?|Rebound|House Party,has_tags_inv
226,what films are about [david yates],Harry Potter and the Order of the Phoenix|Harry Potter and the Half-Blood Prince|The Girl in the Café,has_tags_inv
227,what films are about [john hughes],The Breakfast Club|Ferris Bueller's Day Off|Sixteen Candles|Uncle Buck|Weird Science|Pretty in Pink|Some Kind of Wonderful|Curly Sue|Mr. Mom|She's Having a Baby|Dutch,has_tags_inv
228,which movies are about [ernst lubitsch],The Shop Around the Corner|To Be or Not to Be|Ninotchka|Trouble in Paradise|Heaven Can Wait|Design for Living|The Smiling Lieutenant|The Merry Widow|Cluny Brown|One Hour with You|The Love Parade|Angel|If I Had a Million|The Student Prince in Old Heidelberg|Monte Carlo|I Don't Want to Be a Man|Lady Windermere's Fan|Broken Lullaby|Carmen,has_tags_inv
229,what movies can be described by [cops],Rush|Electra Glide in Blue,has_tags_inv
230,what films are about [jay duplass],The Puffy Chair,has_tags_inv
231,what movies can be described by [kristanna loken],BloodRayne,has_tags_inv
232,what films are about [spelling bee],Bad Words|Akeelah and the Bee,has_tags_inv
233,which films can be described by [sean penn],Into the Wild|Mystic River|The Game|21 Grams|Gangster Squad|Carlito's Way|The Thin Red Line|Milk|The Tree of Life|I Am Sam|The Interpreter|Dead Man Walking|Fast Times at Ridgemont High|U Turn|The Pledge|Fair Game|Casualties of War|The Assassination of Richard Nixon|Colors|We're No Angels|State of Grace|Taps|Bad Boys|At Close Range|The Crossing Guard|It's All About Love|The Indian Runner,has_tags_inv
234,what movies can be described with [alice cooper],Wayne's World,has_tags_inv
235,what movies are about [idris elba],Prometheus|Pacific Rim,has_tags_inv
236,which movies can be described by [kelli garner],Lars and the Real Girl|Bully,has_tags_inv
237,which films are about [psychic powers],Akira|Phenomena,has_tags_inv
238,which movies can be described by [nuri bilge ceylan],Once Upon a Time in Anatolia|Winter Sleep|Three Monkeys|Climates|Clouds of May,has_tags_inv
239,which films are about [joe may],Confession,has_tags_inv
240,which films can be described by [casey affleck],Gone Baby Gone|The Assassination of Jesse James by the Coward Robert Ford|Tower Heist|The Last Kiss|The Killer Inside Me|I'm Still Here|Lonesome Jim,has_tags_inv
